date,comp,place,value,placeID
2021-01-04,vacc,Torino,18717.01152605084,0
2021-01-05,vacc,Torino,1.1414275958185939e-09,0
2021-01-06,vacc,Torino,0.0,0
2021-01-07,vacc,Torino,0.0,0
2021-01-08,vacc,Torino,0.0,0
2021-01-09,vacc,Torino,0.0,0
2021-01-10,vacc,Torino,0.0,0
2021-01-11,vacc,Torino,18717.01152605084,0
2021-01-12,vacc,Torino,18717.01152605084,0
2021-01-13,vacc,Torino,5.393070093652028e-09,0
2021-01-14,vacc,Torino,0.0,0
2021-01-15,vacc,Torino,0.0,0
2021-01-16,vacc,Torino,0.0,0
2021-01-17,vacc,Torino,0.0,0
2021-01-18,vacc,Torino,18717.01152605084,0
2021-01-19,vacc,Torino,18717.01152605084,0
2021-01-20,vacc,Torino,1.2274716699636163e-07,0
2021-01-21,vacc,Torino,2.7859011863281434e-09,0
2021-01-22,vacc,Torino,0.0,0
2021-01-23,vacc,Torino,0.0,0
2021-01-24,vacc,Torino,0.0,0
2021-01-25,vacc,Torino,18717.01152605084,0
2021-01-26,vacc,Torino,18717.01152605084,0
2021-01-27,vacc,Torino,18717.01152605084,0
2021-01-28,vacc,Torino,1.549440127757206e-08,0
2021-01-29,vacc,Torino,1.5327189943770687e-09,0
2021-01-30,vacc,Torino,0.0,0
2021-01-31,vacc,Torino,0.0,0
2021-02-01,vacc,Torino,18717.01152605084,0
2021-02-02,vacc,Torino,18717.01152605084,0
2021-02-03,vacc,Torino,18717.01152605084,0
2021-02-04,vacc,Torino,2.9495321678342852e-08,0
2021-02-05,vacc,Torino,5.360110315862528e-09,0
2021-02-06,vacc,Torino,0.0,0
2021-02-07,vacc,Torino,0.0,0
2021-02-08,vacc,Torino,18717.01152605084,0
2021-02-09,vacc,Torino,18717.01152605084,0
2021-02-10,vacc,Torino,18717.01152605084,0
2021-02-11,vacc,Torino,2.9397009861565834e-08,0
2021-02-12,vacc,Torino,6.723170151440595e-09,0
2021-02-13,vacc,Torino,6.897562601841006e-10,0
2021-02-14,vacc,Torino,0.0,0
2021-02-15,vacc,Torino,18717.01152605084,0
2021-02-16,vacc,Torino,18717.01152605084,0
2021-02-17,vacc,Torino,18717.01152605084,0
2021-02-18,vacc,Torino,3.4067900841717265e-08,0
2021-02-19,vacc,Torino,9.380023021391153e-09,0
2021-02-20,vacc,Torino,2.559806588078015e-09,0
2021-02-21,vacc,Torino,0.0,0
2021-02-22,vacc,Torino,18717.01152605084,0
2021-02-23,vacc,Torino,18717.01152605084,0
2021-02-24,vacc,Torino,18717.01152605084,0
2021-02-25,vacc,Torino,4.36155372100295e-08,0
2021-02-26,vacc,Torino,1.4094148821779794e-08,0
2021-02-27,vacc,Torino,5.768354622246298e-09,0
2021-02-28,vacc,Torino,1.849802663044884e-09,0
2021-03-01,vacc,Torino,18717.01152605084,0
2021-03-02,vacc,Torino,18717.01152605084,0
2021-03-03,vacc,Torino,2.4917205764555363e-06,0
2021-03-04,vacc,Torino,4.7970302696343565e-08,0
2021-03-05,vacc,Torino,2.017113472689981e-08,0
2021-03-06,vacc,Torino,1.0789422091023906e-08,0
2021-03-07,vacc,Torino,6.090927286393569e-09,0
2021-03-08,vacc,Torino,18717.01152605084,0
2021-03-09,vacc,Torino,18717.01152605084,0
2021-03-10,vacc,Torino,2.7654561366319783e-07,0
2021-03-11,vacc,Torino,6.123156191139808e-08,0
2021-03-12,vacc,Torino,3.1997523721151645e-08,0
2021-03-13,vacc,Torino,2.044987282842904e-08,0
2021-03-14,vacc,Torino,1.4292279222577585e-08,0
2021-03-15,vacc,Torino,18717.01152605084,0
2021-03-16,vacc,Torino,18717.01152605084,0
2021-03-17,vacc,Torino,3.2139532019391244e-07,0
2021-03-18,vacc,Torino,1.0169750463630686e-07,0
2021-03-19,vacc,Torino,5.945427727523698e-08,0
2021-03-20,vacc,Torino,4.158838808223969e-08,0
2021-03-21,vacc,Torino,3.1775017565703335e-08,0
2021-03-22,vacc,Torino,18717.01152605084,0
2021-03-23,vacc,Torino,18717.01152605084,0
2021-03-24,vacc,Torino,5.905515290980535e-07,0
2021-03-25,vacc,Torino,1.9848887543735257e-07,0
2021-03-26,vacc,Torino,1.207031589993395e-07,0
2021-03-27,vacc,Torino,8.761867859222308e-08,0
2021-03-28,vacc,Torino,6.943434407271299e-08,0
2021-03-29,vacc,Torino,18717.01152605084,0
2021-03-30,vacc,Torino,18717.01152605084,0
2021-03-31,vacc,Torino,1.5971373757982473e-06,0
2021-04-01,vacc,Torino,4.7029426211462686e-07,0
2021-04-02,vacc,Torino,2.835165927026137e-07,0
2021-04-03,vacc,Torino,2.835165927026137e-07,0
2021-01-04,S,Torino,2120281.0956251724,0
2021-01-05,S,Torino,2101554.212998246,0
2021-01-06,S,Torino,2100657.6846844573,0
2021-01-07,S,Torino,2099759.256745203,0
2021-01-08,S,Torino,2098855.6894891574,0
2021-01-09,S,Torino,2097931.8326562005,0
2021-01-10,S,Torino,2096969.265716665,0
2021-01-11,S,Torino,2096003.1434164303,0
2021-01-12,S,Torino,2077314.095320673,0
2021-01-13,S,Torino,2058664.9706146524,0
2021-01-14,S,Torino,2057793.5007593778,0
2021-01-15,S,Torino,2056919.125892928,0
2021-01-16,S,Torino,2056086.3566279798,0
2021-01-17,S,Torino,2055297.1430644614,0
2021-01-18,S,Torino,2054550.8923832674,0
2021-01-19,S,Torino,2036144.2303637043,0
2021-01-20,S,Torino,2017798.536021805,0
2021-01-21,S,Torino,2017204.7764344106,0
2021-01-22,S,Torino,2016648.740779263,0
2021-01-23,S,Torino,2016126.674085314,0
2021-01-24,S,Torino,2015635.1950120903,0
2021-01-25,S,Torino,2015172.2400368871,0
2021-01-26,S,Torino,1997056.9950794992,0
2021-01-27,S,Torino,1978974.0376976922,0
2021-01-28,S,Torino,1960920.0987814788,0
2021-01-29,S,Torino,1960558.898221874,0
2021-01-30,S,Torino,1960212.4175851217,0
2021-01-31,S,Torino,1959878.0533587264,0
2021-02-01,S,Torino,1959554.6489403616,0
2021-02-02,S,Torino,1941586.3430506971,0
2021-02-03,S,Torino,1923634.0565529482,0
2021-02-04,S,Torino,1905696.349839168,0
2021-02-05,S,Torino,1905417.9163748403,0
2021-02-06,S,Torino,1905143.686835079,0
2021-02-07,S,Torino,1904873.0529348338,0
2021-02-08,S,Torino,1904606.2256501722,0
2021-02-09,S,Torino,1886705.8771504557,0
2021-02-10,S,Torino,1868817.2497726183,0
2021-02-11,S,Torino,1850939.6470100738,0
2021-02-12,S,Torino,1850700.3102034233,0
2021-02-13,S,Torino,1850462.862736986,0
2021-02-14,S,Torino,1850227.2832313294,0
2021-02-15,S,Torino,1849993.552962895,0
2021-02-16,S,Torino,1832142.9298915665,0
2021-02-17,S,Torino,1814300.8815076011,0
2021-02-18,S,Torino,1796467.4226520057,0
