date,comp,place,value,placeID
2021-02-07,S,Torino,1988760.9846228035,0
2021-02-08,S,Torino,1985908.687907621,0
2021-02-09,S,Torino,1812577.5032495484,0
2021-02-10,S,Torino,1810391.7206613468,0
2021-02-11,S,Torino,1808324.46331643,0
2021-02-12,S,Torino,1806372.517817936,0
2021-02-13,S,Torino,1804519.5840597204,0
2021-02-14,S,Torino,1802760.9298932333,0
2021-02-15,S,Torino,1801090.5856694027,0
2021-02-16,S,Torino,1799497.6045690302,0
2021-02-17,S,Torino,1797980.1268089947,0
2021-02-18,S,Torino,1796531.7204358487,0
2021-02-19,S,Torino,1795146.240824819,0
2021-02-20,S,Torino,1793819.1082949708,0
2021-02-21,S,Torino,1792543.540243878,0
2021-02-22,S,Torino,1791309.6706863013,0
2021-02-23,S,Torino,1790117.2140672978,0
2021-02-24,S,Torino,1788952.6668782455,0
2021-02-25,S,Torino,1787812.730133281,0
2021-02-26,S,Torino,1786695.0678792798,0
2021-02-27,S,Torino,1785601.4644110927,0
2021-02-28,S,Torino,1784528.90283637,0
2021-03-01,S,Torino,1783477.7086597325,0
2021-03-02,S,Torino,1782445.676663508,0
2021-03-03,S,Torino,1781430.0310462187,0
2021-03-04,S,Torino,1780430.178015499,0
2021-03-05,S,Torino,1779442.9725849286,0
2021-03-06,S,Torino,1778466.3981541363,0
2021-03-07,S,Torino,1777498.5747108986,0
2021-03-08,S,Torino,1776534.9286473366,0
2021-03-09,S,Torino,1775574.5771337815,0
2021-03-10,S,Torino,1774621.4114523928,0
2021-03-11,S,Torino,1773675.097342891,0
2021-03-12,S,Torino,1772732.8255369586,0
2021-03-13,S,Torino,1771793.7976945909,0
2021-03-14,S,Torino,1770857.3334435704,0
2021-03-15,S,Torino,1769918.9656894587,0
2021-03-16,S,Torino,1768976.9456244633,0
2021-03-17,S,Torino,1768029.3910136803,0
2021-03-18,S,Torino,1767074.3229590044,0
2021-03-19,S,Torino,1766111.7041372603,0
2021-03-20,S,Torino,1765140.5941408202,0
2021-03-21,S,Torino,1764161.2074758275,0
2021-03-22,S,Torino,1763172.9410271356,0
2021-03-23,S,Torino,1762171.0565810744,0
2021-03-24,S,Torino,1761150.4781855536,0
2021-03-25,S,Torino,1760108.9162293572,0
2021-03-26,S,Torino,1759047.19795211,0
2021-03-27,S,Torino,1757966.3787100962,0
2021-03-28,S,Torino,1756869.0801780499,0
2021-03-29,S,Torino,1755753.8081188856,0
2021-03-30,S,Torino,1754614.361234612,0
2021-03-31,S,Torino,1753514.61948326,0
2021-04-01,S,Torino,1752402.9051230166,0
2021-04-02,S,Torino,1751274.4116959313,0
2021-04-03,S,Torino,1750127.8258957518,0
2021-01-04,E,Torino,2574.5764635416713,0
2021-01-05,E,Torino,2870.500363981398,0
2021-01-06,E,Torino,3143.6588656791505,0
2021-01-07,E,Torino,3416.808735173698,0
2021-01-08,E,Torino,3703.3935620967595,0
2021-01-09,E,Torino,4031.270209984613,0
2021-01-10,E,Torino,4434.196479903213,0
2021-01-11,E,Torino,4876.696239409389,0
2021-01-12,E,Torino,5327.590573190195,0
2021-01-13,E,Torino,5815.773386643703,0
2021-01-14,E,Torino,6348.098055754416,0
2021-01-15,E,Torino,6985.023056133623,0
2021-01-16,E,Torino,7631.546183749155,0
2021-01-17,E,Torino,8287.395255125764,0
2021-01-18,E,Torino,8953.40134758705,0
2021-01-19,E,Torino,9617.873120696891,0
2021-01-20,E,Torino,10269.746136640775,0
2021-01-21,E,Torino,10907.174337607485,0
2021-01-22,E,Torino,11524.821689592123,0
2021-01-23,E,Torino,12120.235231308596,0
2021-01-24,E,Torino,12688.215339922996,0
2021-01-25,E,Torino,13215.08269458451,0
2021-01-26,E,Torino,13706.646053782666,0
2021-01-27,E,Torino,14152.767112387271,0
2021-01-28,E,Torino,14548.004124739271,0
2021-01-29,E,Torino,14884.703158371627,0
2021-01-30,E,Torino,15156.600419996084,0
2021-01-31,E,Torino,15368.088591390771,0
2021-02-01,E,Torino,15511.245634395545,0
2021-02-02,E,Torino,15186.334946873134,0
2021-02-03,E,Torino,15141.327761260362,0
2021-02-04,E,Torino,15042.162225478252,0
2021-02-05,E,Torino,14890.442954620585,0
2021-02-06,E,Torino,14692.307620075253,0
2021-02-07,E,Torino,14449.450214227725,0
2021-02-08,E,Torino,14157.812438243134,0
2021-02-09,E,Torino,12452.292323473534,0
2021-02-10,E,Torino,11956.105031233554,0
2021-02-11,E,Torino,11451.309401612183,0
2021-02-12,E,Torino,10942.544080480204,0
2021-02-13,E,Torino,10445.259417144911,0
2021-02-14,E,Torino,9961.468446665021,0
2021-02-15,E,Torino,9493.88627947638,0
2021-02-16,E,Torino,9049.152655738908,0
2021-02-17,E,Torino,8624.440448122714,0
2021-02-18,E,Torino,8221.576940743384,0
2021-02-19,E,Torino,7841.769845541447,0
2021-02-20,E,Torino,7484.583093037586,0
2021-02-21,E,Torino,7151.642001315749,0
2021-02-22,E,Torino,6847.018852344461,0
2021-02-23,E,Torino,6565.386386033572,0
2021-02-24,E,Torino,6314.326631249985,0
2021-02-25,E,Torino,6090.773136966111,0
2021-02-26,E,Torino,5891.3965729953,0
2021-02-27,E,Torino,5709.823453526666,0
2021-02-28,E,Torino,5545.243507215909,0
2021-03-01,E,Torino,5394.007399825546,0
2021-03-02,E,Torino,5255.456474221589,0
2021-03-03,E,Torino,5129.575829447844,0
2021-03-04,E,Torino,5014.395917165387,0
2021-03-05,E,Torino,4910.625742849659,0
2021-03-06,E,Torino,4817.823047786612,0
2021-03-07,E,Torino,4735.510383639845,0
2021-03-08,E,Torino,4665.723416858445,0
2021-03-09,E,Torino,4606.784107684284,0
2021-03-10,E,Torino,4553.056235892598,0
2021-03-11,E,Torino,4503.805845735643,0
2021-03-12,E,Torino,4460.668053631187,0
2021-03-13,E,Torino,4423.152218535954,0
2021-03-14,E,Torino,4390.758510085351,0
2021-03-15,E,Torino,4366.486929255952,0
2021-03-16,E,Torino,4350.307096835005,0
2021-03-17,E,Torino,4342.313722347789,0
2021-03-18,E,Torino,4342.669320160796,0
2021-03-19,E,Torino,4349.760001266678,0
2021-03-20,E,Torino,4363.099802981797,0
2021-03-21,E,Torino,4381.261022193873,0
2021-03-22,E,Torino,4403.831297049517,0
2021-03-23,E,Torino,4434.195274491039,0
2021-03-24,E,Torino,4475.377234928062,0
2021-03-25,E,Torino,4527.303302117686,0
2021-03-26,E,Torino,4587.111633233552,0
2021-03-27,E,Torino,4652.2960041856595,0
2021-03-28,E,Torino,4719.435049056822,0
2021-03-29,E,Torino,4789.479202821438,0
2021-03-30,E,Torino,4867.424714272726,0
2021-03-31,E,Torino,4894.308987211777,0
2021-04-01,E,Torino,4926.594869147001,0
2021-04-02,E,Torino,4967.558151622159,0
2021-04-03,E,Torino,5016.683063028805,0
2021-01-04,P,Torino,1164.623287479782,0
