date,comp,place,value,placeID
2021-01-04,vacc,Torino,18717.01152605084,0
2021-01-05,vacc,Torino,14727.492275094695,0
2021-01-06,vacc,Torino,0.0,0
2021-01-07,vacc,Torino,0.0,0
2021-01-08,vacc,Torino,0.0,0
2021-01-09,vacc,Torino,0.0,0
2021-01-10,vacc,Torino,0.0,0
2021-01-11,vacc,Torino,18717.01152605084,0
2021-01-12,vacc,Torino,18717.01152605084,0
2021-01-13,vacc,Torino,0.0,0
2021-01-14,vacc,Torino,0.0,0
2021-01-15,vacc,Torino,0.0,0
2021-01-16,vacc,Torino,0.0,0
2021-01-17,vacc,Torino,0.0,0
2021-01-18,vacc,Torino,18717.01152605084,0
2021-01-19,vacc,Torino,18717.01152605084,0
2021-01-20,vacc,Torino,18717.01152605084,0
2021-01-21,vacc,Torino,0.0,0
2021-01-22,vacc,Torino,0.0,0
2021-01-23,vacc,Torino,0.0,0
2021-01-24,vacc,Torino,0.0,0
2021-01-25,vacc,Torino,18717.01152605084,0
2021-01-26,vacc,Torino,18717.01152605084,0
2021-01-27,vacc,Torino,18717.01152605084,0
2021-01-28,vacc,Torino,0.0,0
2021-01-29,vacc,Torino,0.0,0
2021-01-30,vacc,Torino,0.0,0
2021-01-31,vacc,Torino,0.0,0
2021-02-01,vacc,Torino,18717.01152605084,0
2021-02-02,vacc,Torino,18717.01152605084,0
2021-02-03,vacc,Torino,18717.01152605084,0
2021-02-04,vacc,Torino,0.0,0
2021-02-05,vacc,Torino,0.0,0
2021-02-06,vacc,Torino,0.0,0
2021-02-07,vacc,Torino,0.0,0
2021-02-08,vacc,Torino,18717.01152605084,0
2021-02-09,vacc,Torino,18717.01152605084,0
2021-02-10,vacc,Torino,18717.01152605084,0
2021-02-11,vacc,Torino,0.0,0
2021-02-12,vacc,Torino,0.0,0
2021-02-13,vacc,Torino,0.0,0
2021-02-14,vacc,Torino,0.0,0
2021-02-15,vacc,Torino,18717.01152605084,0
2021-02-16,vacc,Torino,18717.01152605084,0
2021-02-17,vacc,Torino,2166.684121203158,0
2021-02-18,vacc,Torino,0.0,0
2021-02-19,vacc,Torino,0.0,0
2021-02-20,vacc,Torino,0.0,0
2021-02-21,vacc,Torino,0.0,0
2021-02-22,vacc,Torino,18717.01152605084,0
2021-02-23,vacc,Torino,18717.01152605084,0
2021-02-24,vacc,Torino,9.3720399544485e-09,0
2021-02-25,vacc,Torino,0.0,0
2021-02-26,vacc,Torino,0.0,0
2021-02-27,vacc,Torino,0.0,0
2021-02-28,vacc,Torino,0.0,0
2021-03-01,vacc,Torino,18717.01152605084,0
2021-03-02,vacc,Torino,18717.01152605084,0
2021-03-03,vacc,Torino,0.0,0
2021-03-04,vacc,Torino,0.0,0
2021-03-05,vacc,Torino,0.0,0
2021-03-06,vacc,Torino,0.0,0
2021-03-07,vacc,Torino,0.0,0
2021-03-08,vacc,Torino,18717.01152605084,0
2021-03-09,vacc,Torino,18717.01152605084,0
2021-03-10,vacc,Torino,0.0,0
2021-03-11,vacc,Torino,0.0,0
2021-03-12,vacc,Torino,0.0,0
2021-03-13,vacc,Torino,0.0,0
2021-03-14,vacc,Torino,0.0,0
2021-03-15,vacc,Torino,18717.01152605084,0
2021-03-16,vacc,Torino,18717.01152605084,0
2021-03-17,vacc,Torino,0.0,0
2021-03-18,vacc,Torino,0.0,0
2021-03-19,vacc,Torino,0.0,0
2021-03-20,vacc,Torino,0.0,0
2021-03-21,vacc,Torino,0.0,0
2021-03-22,vacc,Torino,18717.01152605084,0
2021-03-23,vacc,Torino,18717.01152605084,0
2021-03-24,vacc,Torino,3.6685713923499792e-09,0
2021-03-25,vacc,Torino,0.0,0
2021-03-26,vacc,Torino,0.0,0
2021-03-27,vacc,Torino,0.0,0
2021-03-28,vacc,Torino,0.0,0
2021-03-29,vacc,Torino,18717.01152605084,0
2021-03-30,vacc,Torino,18717.01152605084,0
2021-03-31,vacc,Torino,1.7122478283050267e-08,0
2021-04-01,vacc,Torino,0.0,0
2021-04-02,vacc,Torino,0.0,0
2021-04-03,vacc,Torino,0.0,0
2021-01-04,S,Torino,2120281.0956251724,0
2021-01-05,S,Torino,2101582.0512993475,0
2021-01-06,S,Torino,2086661.4360247988,0
2021-01-07,S,Torino,2085699.6560177899,0
2021-01-08,S,Torino,2084668.1054663516,0
2021-01-09,S,Torino,2083534.6717903165,0
2021-01-10,S,Torino,2082255.3634591168,0
2021-01-11,S,Torino,2080853.1347809408,0
2021-01-12,S,Torino,2061623.556676225,0
2021-01-13,S,Torino,2042307.9746472337,0
2021-01-14,S,Torino,2040601.1452066733,0
2021-01-15,S,Torino,2038692.3405952083,0
2021-01-16,S,Torino,2036659.1500873955,0
2021-01-17,S,Torino,2034501.4927040946,0
2021-01-18,S,Torino,2032218.068691086,0
2021-01-19,S,Torino,2012213.8013362705,0
2021-01-20,S,Torino,1992173.2395943538,0
2021-01-21,S,Torino,1972108.0778053177,0
2021-01-22,S,Torino,1969576.1794257823,0
2021-01-23,S,Torino,1966977.5993443676,0
2021-01-24,S,Torino,1964322.6059403429,0
2021-01-25,S,Torino,1961629.2361673915,0
2021-01-26,S,Torino,1941447.6344671636,0
2021-01-27,S,Torino,1921318.9097218663,0
2021-01-28,S,Torino,1901257.9011586336,0
2021-01-29,S,Torino,1898667.8377470754,0
2021-01-30,S,Torino,1896107.4007652493,0
2021-01-31,S,Torino,1893582.8903044153,0
2021-02-01,S,Torino,1891108.9203048078,0
2021-02-02,S,Torino,1871390.5250639734,0
